subject_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,CBCL
NDARINV94Y93T1G,-0.0944695931503248,0.0,0.0,-0.1167508294268857,-0.0723737553749393,0.0193118004079908,0.1747623183492234,-0.1199326920635111,0.0488418037667569,-0.1330057319369799,0.0714527120722661,0.0747300645027728,-0.1296354292137949,-0.0557424145712539,0.0,0.0,0.2636604102986786,0.0,0.0,-0.067217864103369,0.1413232385566525,0.0,0.0,0.0,-0.0335377105230053,0.0,0.0583025703624901,-0.1810814646240016,-0.0990514877766344,-0.0934827755686839,0.2901211990645338,-0.0206690485715383,-0.1948871837975192,-0.0024476247729014,-0.2494101763987913,0.0245534495949241,0.0641005153778375,-0.1168433165600937,-0.1738988333871172,0.2250837169240742,0.0469220955436574,-0.2031642676001123,0.0126844903393077,0.1124389130571912,0.0332524661465311,0.0556274821368069,0.1537711441722219,0.0614835586508502,0.1360666248742744,0.1790094433473268,0.0,0.0,-0.0272897266980439,0.1508458168858359,0.0,0.0,0.0,0.0305230657884483,0.0,0.207026431190945,0.0,0.0542058761692709,0.4304508493988944,0.0,0.0,0.0555469492079647,0.073610198743249,0.0,-0.0069539337533105,-0.0570342734209288,-0.10557301503976,0.0,-0.0733645541773517,-0.0660275365859973,-0.1525470969717784,-0.1439752926621066,-0.1414853553809839,-0.0183349490327672,0.0,0.0,0.0,-0.0561865328935933,0.0,0.2404086362556239,0.0,0.0,0.0,-0.0644553604449409,0.0,0.0,-0.0013700708856976,-0.0142561376314042,0.0214854934482867,-0.0970737221268392,-0.0475708855832947,0.0469787902646414,0.0551697965285825,0.0429397396604537,0.0537860382422852,0.1271616899544149,0.0,0.0848006009982706,0.0,0.0,0.0669979599236511,1.0
NDARINVKFH1X898,-0.0120601599545147,0.0,0.0,0.0029449645625455,0.1574124920591112,-0.1366126645736489,-0.1769786434546065,0.179801854520411,0.057736034456452,-0.0945628110625868,0.0898363260647024,-0.050791074521176,-0.0679915671362291,-0.2156428672965,0.0,0.0,0.169960001659043,0.0,0.0,-0.1398231276819126,0.1315281298304866,0.0,0.0,0.0,-0.138153718515018,0.0,-0.0789632536023808,-0.064955666417227,-0.3137774935166076,0.1067300316934135,0.1881279618560879,-0.1153755140832663,-0.0455337485059159,0.0421676360152287,0.1599674729869608,-0.0249702121982466,-0.018203920233329,0.0238424094954536,-0.2126728946524037,0.2900629398941159,0.056454841920052,-0.105441613371397,-0.1221121859655701,0.1481686602649711,-0.0816990466437264,0.1400107092997146,0.1181553412449556,-0.1391331859759149,-0.0861997826051586,-0.0014951485483713,0.0,0.0,0.0992973169708784,0.213761832569203,0.0,0.0,0.0,-0.1464171160023095,0.0,0.1422644994017043,0.0,-0.4707392105733695,0.2406775011165034,0.0,0.0,0.0784417120161371,-0.1445281041336246,0.0,-0.2881579096511455,0.0204793276114389,0.128559653304549,0.0,0.0232648478509394,-0.1312874987465157,-0.0090651927787388,-0.0104465918932293,0.1213852759521636,-0.0699005439203018,0.0,0.0,0.0,0.0705283853356873,0.0,0.5525998618445125,0.0,0.0,0.0,-0.0906589706207728,0.0,0.0,0.0063337912913391,-0.0576213769450351,0.3094747993200785,-0.1070942695107077,0.0551245226167238,0.0046082879474337,-0.1388499474203521,0.1534192789691711,-0.1557086698500821,-0.1591152382593562,0.0,-0.0265448374136042,0.0,0.0,-0.1039135758868341,0.0
NDARINVKTJZFMAM,-0.2058662509101216,0.0,0.0,0.1108992542812497,-0.2012096845683327,0.0154738082919393,0.0426518129509295,-0.0524913017680323,0.0461113724273495,0.0227982529002295,0.2137822760704283,0.0023624802722944,-0.1012236252982335,0.0871783066549634,0.0,0.0,0.1296275574027651,0.0,0.0,-0.0482759998615497,0.3482918940460033,0.0,0.0,0.0,0.1979658397139188,0.0,-0.1989904499527301,-0.2026365203232035,-0.1762818722167758,-0.1272689655697322,0.7304701091815758,-0.0878474037749589,-0.1874230032224512,0.0662059212987821,-0.0333874947287788,0.0013300538838998,-0.1999677667007682,0.1084042245697135,0.1326364265641426,0.1967291101610094,0.0146480905141702,-0.1123016992449589,0.1421296469064533,0.1331984538040258,-0.103623765541209,0.010228728378909,0.0391073944576199,0.2122815891818453,0.0115343604288464,-0.0339932417818761,0.0,0.0,0.0196413258662362,-0.0164876508536223,0.0,0.0,0.0,-0.047808360490392,0.0,0.0729508894580774,0.0,-0.0525188815515817,0.614695410054043,0.0,0.0,-0.1508760549763459,0.1099631810274845,0.0,-0.0268085759189714,-0.006571266671828,-0.1417466266968298,0.0,-0.0246860226897373,-0.0203389747221136,-0.2093151170783052,0.1651071214346212,0.1085445616440473,0.02950120170112,0.0,0.0,0.0,-0.0625694724608646,0.0,0.0342620867777061,0.0,0.0,0.0,0.1749113301563543,0.0,0.0,0.1352895125548587,-0.0999305331409348,-0.1344569284335525,0.1062353697332903,0.1558602590805956,-0.0508985365242396,-0.1278486962864679,0.0691969616636543,0.0708934406340424,0.0974830616647221,0.0,-0.0538855676619956,0.0,0.0,0.0447584245955375,0.0
NDARINVBDMDX4EW,0.0290901186188832,0.0,0.0,0.1056112479569905,-0.2145690613495496,-0.1066160756490882,0.1744121349931208,-0.1205865862979249,0.0832861319176635,-0.1738476183461949,0.0009170354719434,-0.2273421426281192,-0.1600027736057573,0.0199954768841238,0.0,0.0,0.1769693831169004,0.0,0.0,0.1738915567205902,0.2546259616524884,0.0,0.0,0.0,-0.1371063457258513,0.0,0.0433705612346288,-0.069431243365001,-0.1142185104713623,-0.0678754442601266,0.1010452457426848,-0.1675124081828737,-0.1345088617533568,-0.0740568637861124,-0.118801708436404,-0.0330792056539584,-0.0537257089194503,-0.0602409560304418,0.070264746163964,0.4851151429668128,-0.1428431719685925,-0.0643397678333386,0.0851242057386112,-0.1073316851504668,0.0496604833038009,-0.1899508944623046,0.1707018470025207,-0.1007064375706838,0.0189159375812702,0.0325452842840986,0.0,0.0,0.1086735118475986,0.0655716223434787,0.0,0.0,0.0,-0.0712180691848241,0.0,-0.004390179409678,0.0,-0.0387169056444477,0.4296085707644835,0.0,0.0,0.0333396951769615,0.0641505186856355,0.0,0.0285048045338175,-0.1174350756212139,-0.0060258872324029,0.0,-0.1296979071225904,0.0182860074927411,-0.0880837963601326,-0.0177557810885678,-0.00959993764866,-0.0560496235925054,0.0,0.0,0.0,-0.1055676321983213,0.0,-0.0451775231664169,0.0,0.0,0.0,0.222633226945321,0.0,0.0,-0.0054462026392332,-0.0761184505803593,-0.09173062834483,-0.090004198245642,0.0288795722514183,0.0879367301478727,0.0903870653848813,0.3830353588768947,0.0561206336123345,-0.0781828136008218,0.0,0.0716692323074432,0.0,0.0,0.0620918448792148,1.0
NDARINVA9CA7RPB,-0.0053466777844914,0.0,0.0,-0.017817711551783,-0.0807079110398744,0.020273432546872,-0.0288367563299197,-0.1668084876044518,0.0119581757360829,-0.2014804659310579,0.0303639737666343,-0.1519719943184776,0.0702442735849326,-0.0866429195340827,0.0,0.0,0.2011982732160324,0.0,0.0,0.0270023413559193,-0.1130671732825947,0.0,0.0,0.0,-0.1603251350133809,0.0,0.0500334673577576,0.0096469796122031,-0.1694746911793915,-0.0677165657720065,0.2536531187133768,-0.0895984716242967,0.0210805022104125,-0.0819653129367137,0.0512291815262813,-0.1507333247644764,-0.0202633011767033,0.0190834992247992,0.1392785117777689,0.2783750164395279,0.1964408896985407,0.1532514797961884,0.0787541308627092,-0.1064712577747675,-0.0916354158039635,-0.1121523244273932,-0.1207802943074361,0.2462818617271985,-0.0410262233279159,0.1220379342874205,0.0,0.0,0.0332895576217446,0.0784834355982777,0.0,0.0,0.0,0.0480699354378822,0.0,-0.039639081370519,0.0,0.0088001284380701,0.1047424107947247,0.0,0.0,-0.0578953493471763,0.4224129672047008,0.0,0.0330001590967998,0.0654986012804485,0.0749544263900954,0.0,0.0250124337802808,0.071162855907386,-0.0311316243380449,-0.1478235874970872,0.0429878078747399,-0.0404985361099294,0.0,0.0,0.0,0.1907237363310864,0.0,-0.1794062785714404,0.0,0.0,0.0,-0.0537056344086564,0.0,0.0,-0.0239948468652516,-0.0106139790335103,0.0700115476186146,-0.0677475933028279,0.1401667769408116,0.1267692962989249,0.0556230495719794,0.1638432715524784,-0.0433621883090286,-0.0637453420787298,0.0,-0.0907526925340407,0.0,0.0,-0.0073546664139482,0.0
NDARINVBDAMTERV,-0.1334897766480861,0.0,0.0,-0.0403872666788902,-0.184955855804336,-0.1373492286999213,-0.0595630710399331,-0.3037653106636259,0.182428993953664,-0.1781963584731627,0.0299333607039454,-0.0769322882226171,-0.0964971954761097,0.0739009661824945,0.0,0.0,-0.0864732691773681,0.0,0.0,0.0006611080608925,0.4171552548749329,0.0,0.0,0.0,0.1334704879820147,0.0,0.129706126767626,-0.1127966084892468,-0.1947041848956076,-0.0002214718194601,0.067758162067418,0.0699059099409275,-0.0564617361345775,-0.0611822417408764,-0.2160703112410678,-0.2289793697371816,-6.4271481504722245e-06,-0.140466718473833,0.0548517811571661,0.2309988168071504,0.0359205060102283,-0.0579309006323216,-0.0232198181985969,0.0895731656392766,-0.1788404433880795,0.1356376874001459,0.1391548405100508,-0.1228200829851156,0.0026874527294734,-0.0172047455166778,0.0,0.0,-0.043623175053285,-0.0317055155057054,0.0,0.0,0.0,-0.1490470814580396,0.0,0.0377214645555506,0.0,0.0532092785632723,0.6088462987655298,0.0,0.0,0.0898797978895893,0.1142328503936042,0.0,0.1016907142096371,0.0457617664100856,-0.0117446185379798,0.0,0.079057204437116,0.0213302717829013,0.1259693187131917,0.044454243043062,-0.0380783203278391,-0.0260669570966002,0.0,0.0,0.0,0.0111320211448604,0.0,-0.0038033610866434,0.0,0.0,0.0,0.1832434973152619,0.0,0.0,-0.2647797577993702,-0.0586542060311823,-0.0770198051002188,-0.0259259176782395,0.0029735819522176,0.1532641214952458,0.2998248813248288,0.4160261910250453,-0.0686243232044628,0.0285491750907329,0.0,0.0081299737084193,0.0,0.0,-0.0569177391881377,0.0
NDARINV2LL2Y78J,-0.0227173063888964,0.0,0.0,0.1970050697583068,-0.0522190280221374,-0.0940236036872625,0.043154036386577,-0.095102473954004,0.1000420743084332,-0.1670526858914387,0.0594322291921249,-0.1064546310030278,-0.064727525763509,0.0537315200004735,0.0,0.0,0.3393137638050139,0.0,0.0,0.03268194445663,0.0908323773310658,0.0,0.0,0.0,-0.1471512454205979,0.0,-0.0398467854172243,-0.2077389248745138,-0.1210288685415824,0.0226401794722072,0.3382732726658348,-0.0884203045785494,0.114380281371383,-0.0768285292066441,0.0034493146376101,-0.0653496073483097,-0.1582491947021456,0.006303936303887,-0.0450661337564637,0.3743431937460395,-0.0361580445933058,0.0947072922197773,0.2354003907954842,-0.0748126046026846,0.1652326479626665,-0.1269571630276283,0.0894124118748379,-0.0278850244401864,-0.0739182189145739,0.0109502996308829,0.0,0.0,0.1318009309104643,-0.0172258632922502,0.0,0.0,0.0,-0.0608741250198668,0.0,0.0381309426262314,0.0,-0.096612059239144,0.1272362753787783,0.0,0.0,0.0299926749192522,0.02370208786672,0.0,-0.1230348257198196,-0.0256300717401381,0.1147654957172506,0.0,-0.2762471512353066,-0.0525299337437451,-0.0866207321580194,-0.0486492652947083,-0.0308502692569814,-0.0070128692748697,0.0,0.0,0.0,0.0806914061721832,0.0,-0.024551491408498,0.0,0.0,0.0,-0.0751161984874272,0.0,0.0,0.0035229200146067,0.0894898268702794,-0.0609121156767576,0.0146679086926496,-0.0076323498061047,0.0287208423394916,-0.0745049770977198,0.266753239234481,0.0314244061799311,-0.0288269519283773,0.0,0.077273971325281,0.0,0.0,-0.0922850961191833,0.0
NDARINVUMHGTLW8,0.0387547967358575,0.0,0.0,-0.0967843121578475,-0.1364766009597646,0.0148632584042533,0.0311920789879265,-0.1663326500516592,0.0774694269091929,-0.1773997939122433,-0.0711652903672253,-0.258660782469391,0.1375452526817762,0.1356767354697365,0.0,0.0,0.4017931178907106,0.0,0.0,-0.0862806584572041,0.1282073341007833,0.0,0.0,0.0,-0.2937745365309056,0.0,0.103513630203818,-0.1402711309216328,-0.1394005785806425,-0.2222865739455134,0.2263405938457518,-0.0424932788244945,-0.2070172176389576,-0.2153815233443169,-0.2969027778142273,0.012830130467705,-0.1458032836377874,0.1438305562936555,-0.1397054352124955,0.4529187920192286,0.1714524450552854,0.0311364903562519,-0.0156498211592917,0.257816422657363,0.0344129846248779,0.1518988522632938,0.0837407605601433,0.0950664209750315,-0.1576740063673783,0.0013024851405701,0.0,0.0,0.0023155236080336,0.3466612138129448,0.0,0.0,0.0,-0.0254127515692949,0.0,0.0093295179540658,0.0,0.0090168084869892,0.5878146320989919,0.0,0.0,-0.0924272785407589,-0.1376365293919927,0.0,0.14388706673323,-0.0053595754725723,-0.144984942441897,0.0,-0.1724129096401114,0.106214206073075,-0.1691993137105615,0.0214047676993568,-0.0521193695423491,-0.0408117519009694,0.0,0.0,0.0,0.0354404179923704,0.0,-0.1078997540665531,0.0,0.0,0.0,0.0997018068351465,0.0,0.0,-0.0015181688836185,0.0748722197968871,-0.1014565368345057,-0.100890260665004,0.0067373315332827,-0.0680064817713427,-0.0335699966022836,-0.2496091050814037,0.1590247795106736,0.1484386974928435,0.0,-0.0605050224288573,0.0,0.0,0.0641697722914772,0.0
NDARINVWE1Z3L3H,0.1137759270085802,0.0,0.0,0.1088363677058233,0.0087705937904444,-0.048012316641827,-0.008528779555974,0.0285995947058137,0.0563856166130495,-0.0810281424117387,0.0794773434505195,-0.0176893673267259,-0.0960316840220106,-0.090375468719105,0.0,0.0,0.1563897762820319,0.0,0.0,-0.1450157748428336,-0.090657586533836,0.0,0.0,0.0,-0.1881863004074656,0.0,-0.0592752309990021,-0.144379414210035,-0.0914116514709583,-0.1431350157489043,0.2006746067242191,0.2261115208579089,0.1146635377886886,-0.1132143770352012,0.0441691903652364,-0.074494673401108,0.1895229067885214,0.1198165214860837,0.1332058669115677,0.2543357089066013,0.2699452938878026,-0.0523098073111397,0.0777398391092457,0.0730436622883323,0.1326507758038681,0.000264129798083,-0.0847263042827842,-0.0701330021667359,-0.0943172026819494,0.0658906605140743,0.0,0.0,-0.0576989840961401,0.1872852453858693,0.0,0.0,0.0,-0.1305413020044299,0.0,0.033965270819306,0.0,0.0247373093263107,0.205118036494544,0.0,0.0,0.1021508815573618,-0.0829219056469098,0.0,-0.0944559925030196,-0.1547526797104571,-0.1244763159858831,0.0,-0.1602809334622418,0.1835562250960636,-0.1498675756157146,0.1076869639041865,-0.1845798028272752,0.0327614924889129,0.0,0.0,0.0,0.3857250693780183,0.0,0.2612368274374135,0.0,0.0,0.0,-0.0125801778439185,0.0,0.0,0.0142394077552297,0.0043148689278348,-0.1413651616839693,0.0509399843715788,-0.086779719968392,-0.131405009570814,0.2321185703860237,0.2598958548570487,0.0707342556791389,-0.1456114016260854,0.0,-0.2434126490383034,0.0,0.0,-0.0867922193795909,0.0
NDARINV7GYDJXB0,-0.0857644178654694,0.0,0.0,0.1996718973860139,-0.0386658266848957,0.038400735158757,-0.1053262655206783,0.0260026528910386,-0.0251969754416332,-0.0282434042664105,0.0910271828347233,-0.1389268718112515,-0.078641071433752,-0.1209397791656148,0.0,0.0,-0.0845508966813458,0.0,0.0,-0.0011345005894382,-0.1096969592428344,0.0,0.0,0.0,-0.1938618285307114,0.0,0.1986467085586825,-0.0431623962263749,-0.0320898032407408,0.1981283520913601,-0.029190838027093,0.0316724234977304,-0.2863200150640571,-0.0182722089864011,-0.251304229368013,-0.1434039876474284,0.1055298831443444,-0.0023129785111218,0.0100478747899532,0.2810022609468809,0.0803100411313765,-0.0653850000584312,-0.0336691567804442,-0.0061448234678741,-0.1057698479335264,-0.0508663517954089,0.1040825159063392,0.1700851466668099,0.2770924640083793,-0.0099545499233608,0.0,0.0,0.1283110752207501,-0.028978673412392,0.0,0.0,0.0,0.0408926556323133,0.0,-0.1487617741846855,0.0,-0.037764174285295,-0.2611106026845704,0.0,0.0,0.0865261829453986,0.0351068169243652,0.0,0.0172580762073451,0.0756088976158512,0.0791143663522473,0.0,0.0602923380149372,0.0082233790776578,-0.1424869062715875,-0.1132638773932861,-0.031559879475421,0.0007644281417039,0.0,0.0,0.0,0.0930512858576045,0.0,-0.2615092131189478,0.0,0.0,0.0,-0.1490301468333821,0.0,0.0,-0.0001568846286886,-0.0079445640387664,-0.0162952453329907,0.0402785187830161,0.157894749517132,0.1808945721271611,-0.127561671839324,0.2095570931467293,-0.0472850121769818,-0.0218538254617831,0.0,-0.0152238221637171,0.0,0.0,0.0663638437822842,1.0
NDARINV0X02CUCY,-0.0913635107421383,0.0,0.0,0.0655280072812217,-0.0999075860969716,0.0010401533622826,0.059631966319481,0.0595138478371899,0.0356874870904828,-0.1289307426560043,0.0453820909634403,0.0026548539100507,-0.0541681925674654,0.0193308832974726,0.0,0.0,-0.0526284992847241,0.0,0.0,-0.0751550761908057,-0.0699864284908082,0.0,0.0,0.0,-0.0638480259385907,0.0,-0.2607105175907774,-0.1187856922584132,-0.0648339714205108,0.0502060574675877,0.2296450359710978,0.0105506197057181,-0.0110718792045386,-0.1391686643410218,0.0295088330217418,-0.1403093996961117,-0.1807006053545039,0.2237647288179373,0.12080213043017,0.2206475925006826,0.2001419974201267,-0.088137824598016,0.0899066858881671,0.1658174438645655,-0.0167384869409331,0.0148755195261541,0.0332930793047815,-0.0089911987131368,-0.0982985337607293,0.1406302157172171,0.0,0.0,-0.0593206511762348,0.191959963631719,0.0,0.0,0.0,0.0090808590308096,0.0,0.0936773224453119,0.0,0.0808998225074136,0.0821886524173476,0.0,0.0,0.153808082827224,-0.0770208118969565,0.0,-0.164202641292192,0.0080958436254692,0.2708178124777547,0.0,0.0508565379167227,-0.1511839577588381,-0.0640072922784982,0.0560641624647909,0.1668936644074549,0.0438776901929735,0.0,0.0,0.0,0.1005205974295669,0.0,-0.0195734509369058,0.0,0.0,0.0,0.1600148442044906,0.0,0.0,0.0283810866633223,0.1084207346026651,-0.0317724210108827,-0.1465400049188794,-0.0405182837988704,0.0163116519018565,0.026915789628944,0.0237769785374833,0.0249260983912985,-0.0298420481582967,0.0,-0.0219078646129464,0.0,0.0,0.0009063079143907,1.0
NDARINV57CKHLC8,-0.0625296873780238,0.0,0.0,0.1859245881674911,-0.1612362269518904,-0.1392181289031586,0.1067233383978564,-0.0842837305594566,0.0818145990276001,0.003333532757657,0.1784583688983777,-0.0203312382131515,0.0199078737178072,0.07971170697978,0.0,0.0,0.1066694597320406,0.0,0.0,-0.0906613264809945,0.1113182915026572,0.0,0.0,0.0,-0.139566569807126,0.0,0.0327847022106924,-0.0559281005065122,-0.100323560298324,-0.0312067231796393,0.3268346224959005,0.2011241733501033,0.0252409130727852,-0.0609264450108379,0.1028241137202693,0.0119519554711,-0.0571518854061215,-0.048963840712651,-0.0574525270932654,0.3309263872313595,0.0992041011210447,-0.1349801108272293,0.0116133142538282,0.0829153571131937,-0.0969536982762308,0.0596472023074327,-0.0250754848177811,-0.0129338852240589,0.0076176937384962,0.0116213363179765,0.0,0.0,-0.0523057079791968,0.0722518420720405,0.0,0.0,0.0,0.0051760935606982,0.0,0.1082572455487404,0.0,-0.0072089969385755,0.5392039573753178,0.0,0.0,-0.0342991688829081,0.0832978280016609,0.0,-0.0445290060037291,-0.0171403843293751,-0.025358232749111,0.0,0.0737288819072888,-0.0626164117166628,-0.1708456096798074,-0.0664548357610052,-0.0841303456468183,0.0029049496436023,0.0,0.0,0.0,-0.0835233642964675,0.0,0.247668208977455,0.0,0.0,0.0,0.061123432520589,0.0,0.0,0.0241547353078287,0.0527090729421693,0.1859701673642728,-0.0818845206182208,0.0620841269586295,0.0286950102162775,0.0070033416141566,0.3034926283214949,0.0378762316943049,-0.0985232556723447,0.0,-0.0358611582898143,0.0,0.0,0.0038330727377122,1.0
NDARINVE7CFEXUC,-0.0602953182083437,0.0,0.0,0.0240105330297997,-0.1382522303906997,-0.1318475134491537,0.0685686753162814,-0.1811908252700472,0.0829984013068972,-0.1126747022168457,0.0536037278472413,-0.0736424979839268,-0.0753053231997716,0.1639359764568836,0.0,0.0,0.1070802339958732,0.0,0.0,-0.0828887337981968,0.1423933547398586,0.0,0.0,0.0,0.0583745802000379,0.0,0.0880702243199555,-0.1721288229356904,-0.199307337801916,-0.0978426270339642,0.4374582858865911,0.033134893194277,-0.198370661364983,-0.1137162525214987,-0.1592125127262328,-0.0551118710044438,-0.0696114150597279,-0.1381018679219304,-0.0676723725764096,0.6208271879334726,0.2524031939273272,-0.0170420767553595,0.0510396005622975,0.3536720515475583,-0.0077744866509047,0.141306396989893,0.0045928062735536,0.2627097344165606,0.3141765430413313,0.0896325858805813,0.0,0.0,0.0045994839070415,0.236066157826773,0.0,0.0,0.0,0.1240312144847347,0.0,0.0607119670877177,0.0,-0.1059779392436782,0.5667380461863295,0.0,0.0,0.0553677088975443,0.3889733387972423,0.0,0.1814297089178679,-0.0870979306229477,-0.0936491052970373,0.0,-0.147060095678509,-0.0915100414232728,-0.0837075217795902,-0.029953499474237,-0.0002506294045143,-0.0648582921471693,0.0,0.0,0.0,-0.0604261499979667,0.0,-0.1342183153292752,0.0,0.0,0.0,0.4878174428999091,0.0,0.0,0.0564086223571837,-0.0384896282726005,0.0139756916753775,-0.0845065102849078,-0.034169096035699,-0.1910206285757842,-0.0799380558597896,-0.0582967935495555,0.0639405771485115,0.0403993537801647,0.0,0.0623856130944839,0.0,0.0,0.1052884376960969,0.0
